"","Stream","Date","Time","Date + Time","Streamflow","Ammonia as N","NH3 DQ","TKN","TKN DQ","Nitrate + Nitrite as N","NO2+NO3 DQ","Phosphate","PO4 DQ","Total Phosphorus","Total Phosphorus Data Qualifier","Chloride","Cl DQ","Sulfate","SO4 DQ","Ion Balance","Color","Color Notes","Alkalinity","Alk DQ","Alk Notes","Carbonate","Bicarbonate","Conductivity","TDS","TDS Notes","TSS","TSS Notes","Fluoride","F DQ","F Notes","pH","Boron","B DQ","B Notes","Calcium","Ca DQ","Ca Notes","Iron","Fe DQ","Magnesium","Mg DQ","Potassium","K DQ","Sodium","Na DQ","Na Notes","Hardness (Ca & Mg)","Hardness Notes","Aluminum","Al DQ","Antimony","Sb DQ","Arsenic","As DQ","As Notes","Barium","Ba DQ","Beryllium","Be DQ","Cadmium","Cd DQ","Chromium","Cr DQ","Cr Notes","Cobalt","Co DQ","Copper","Cu DQ","Lead","Pb DQ","Manganese","Mn DQ","Mn Notes","Molybdenum","Mb DQ","Nickel","Ni DQ","Silicon","Si DQ","Silver","Ag DQ","Strontium","Sr DQ","Thallium","Tl DQ","Uranium","Ur DQ","Ur Notes","Vanadium","V DQ","V Notes","Zinc","Zn DQ","Zn Notes","Selenium","Se DQ","Se Notes","Mercury","Hg DQ","TOC","TOC Data Qualifier","TOC Notes"
"99","East Fork Jemez River",2006-11-01," 10:30:00",2006-11-01 10:30:00,NA,"<0.1",NA,0.33,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,15.1,"40",NA,35.6,NA,NA,"0",43.4,79.6,"136",NA,"<3",NA,0.77,NA,NA,7.86,NA,NA,NA,5.8,NA,NA,NA,NA,"1.46",NA,"1.72",NA,11.8,NA,NA,"20.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","East Fork Jemez River",2006-11-27," 11:30:00",2006-11-27 11:30:00,NA,"<0.1",NA,0.19,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,14,"10",NA,36.6,NA,NA,"0",44.7,82.5,"130",NA,"5",NA,0.83,NA,NA,8.07,NA,NA,NA,5.78,NA,NA,NA,NA,"1.27",NA,"1.51",NA,12.4,NA,NA,"19.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","East Fork Jemez River",2007-04-16," 09:30:00",2007-04-16 09:30:00,NA,"<0.1",NA,1.1,NA,"<0.1",NA,NA,NA,0.0766,NA,"<10",NA,"15.2",NA,14.8,"70",NA,20.4,NA,NA,"0",24.9,90.7,"146",NA,"11",NA,NA,NA,NA,7.54,NA,NA,NA,10.2,NA,NA,NA,NA,"1.23",NA,"2.36",NA,7.13,NA,NA,"30.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","East Fork Jemez River",2007-05-31," 10:00:00",2007-05-31 10:00:00,NA,"<0.1",NA,0.328,NA,"<0.1",NA,NA,NA,0.032,NA,"<10",NA,"<10",NA,4.49,"50",NA,31.8,NA,NA,"0",38.8,69.8,"130",NA,"<3",NA,0.54,NA,NA,7.78,NA,NA,NA,5.67,NA,NA,NA,NA,"1.19",NA,"<1",NA,7.26,NA,NA,"19.100000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","East Fork Jemez River",2007-07-05," 10:00:00",2007-07-05 10:00:00,NA,"<0.1",NA,0.55,NA,"<0.1",NA,NA,NA,0.048,NA,"<10",NA,"<10",NA,10.1,"35",NA,36.8,NA,NA,"0",44.9,80.4,"112",NA,"<3",NA,0.9,NA,NA,8.02,NA,NA,NA,6.56,NA,NA,NA,NA,"1.38",NA,"<1",NA,10.6,NA,NA,"22.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","East Fork Jemez River",2007-08-01," 16:30:00",2007-08-01 16:30:00,NA,"<0.1",NA,0.87,NA,"<0.1",NA,NA,NA,0.062,NA,"<10",NA,"<10",NA,22.4,"50",NA,33.9,NA,NA,"9.36",31.9,71.2,"134",NA,"4",NA,0.68,NA,NA,9.16,NA,NA,NA,5.69,NA,NA,NA,NA,"1.17",NA,"1.17",NA,9.5,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","East Fork Jemez River",2007-09-04," 12:45:00",2007-09-04 12:45:00,NA,"<0.1",NA,0.353,NA,"<0.1",NA,NA,NA,0.071,NA,"<10",NA,"<10",NA,11.1,"35",NA,37.3,NA,NA,"1.37",44.2,83.6,"142",NA,"5",NA,0.6,NA,NA,8.44,NA,NA,NA,6.19,NA,NA,NA,NA,"1.45",NA,"1.84",NA,9.86,NA,NA,"21.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","East Fork Jemez River",2007-10-03," 10:00:00",2007-10-03 10:00:00,NA,"<0.1",NA,0.887,NA,"<0.1",NA,NA,NA,0.06,NA,"<10",NA,"<10",NA,11.8,"90",NA,37.5,NA,NA,"0",45.7,86.4,"184",NA,"9",NA,0.59,NA,NA,7.6,NA,NA,NA,6.61,NA,NA,NA,NA,"1.62",NA,"2.11",NA,9.96,NA,NA,"23.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","East Fork Jemez River",2007-11-13," 15:30:00",2007-11-13 15:30:00,NA,"Contaminated",NA,NA,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,25.7,"30",NA,35.8,NA,NA,"0",43.7,78,"108",NA,"4",NA,0.78,NA,NA,8.07,NA,NA,NA,9.24,NA,NA,NA,NA,"2.17",NA,"2.29",NA,11.8,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","East Fork Jemez River",2008-04-29," 17:30:00",2008-04-29 17:30:00,NA,"<0.1",NA,0.516,NA,"<0.1",NA,NA,NA,0.378,NA,"<10",NA,"<10",NA,18.9,"50",NA,25.3,NA,NA,"0",30.8,60.8,"128",NA,"<3",NA,0.34,NA,NA,7.68,NA,NA,NA,6.27,NA,NA,NA,NA,"1.23",NA,"1.7",NA,6.53,NA,NA,"20.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","East Fork Jemez River",2008-06-02," 14:30:00",2008-06-02 14:30:00,NA,"<0.1",NA,0.56,NA,"<0.1",NA,NA,NA,0.055,NA,"<10",NA,"<10",NA,6.02,"30",NA,31.2,NA,NA,"0",38.1,67.7,"104",NA,"5",NA,0.48,NA,NA,7.6,NA,NA,NA,6.74,NA,NA,NA,NA,"<1",NA,"1.46",NA,7.59,NA,NA,"16.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","East Fork Jemez River",2008-06-30," 11:15:00",2008-06-30 11:15:00,NA,"<0.1",NA,0.44,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,11.1,"70",NA,34.4,NA,NA,"0",42,76.3,"132",NA,"3",NA,0.72,NA,NA,7.68,NA,NA,NA,6.21,NA,NA,NA,NA,"1.08",NA,"1.1200000000000001",NA,9.94,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","East Fork Jemez River",2008-07-31," 16:00:00",2008-07-31 16:00:00,NA,"<0.1",NA,0.727,NA,"<0.1",NA,NA,NA,0.0434,NA,"<10",NA,"<10",NA,13.7,"35",NA,35.1,NA,NA,"1.92",40.9,78.6,"128",NA,"5",NA,0.68,NA,NA,8.49,NA,NA,NA,5.65,NA,NA,NA,NA,"1.1200000000000001",NA,"1.1200000000000001",NA,11,NA,NA,"18.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","East Fork Jemez River",2008-08-28," 14:00:00",2008-08-28 14:00:00,NA,"<0.1",NA,1.41,NA,"<0.1",NA,NA,NA,0.098,NA,"<10",NA,"<10",NA,15.8,NA,NA,33.4,NA,NA,"0",40.7,NA,"194",NA,"4",NA,NA,NA,NA,7.66,NA,NA,NA,6.31,NA,NA,NA,NA,"1.47",NA,"2.08",NA,9.83,NA,NA,"21.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","East Fork Jemez River",2008-09-30," 09:30:00",2008-09-30 09:30:00,NA,"<0.1",NA,0.78,NA,"<0.1",NA,NA,NA,0.105,NA,"<10",NA,"<10",NA,13.2,"25",NA,34.8,NA,NA,"0",42.4,75.9,"114",NA,"112",NA,0.803,NA,NA,7.67,NA,NA,NA,5.31,NA,NA,NA,NA,"1.04",NA,"1.47",NA,11.9,NA,NA,"17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","East Fork Jemez River",2008-10-30," 17:30:00",2008-10-30 17:30:00,NA,"<0.1",NA,0.68,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,6.06,"35",NA,34.9,NA,NA,"0",42.6,65.7,"122",NA,"5",NA,0.847,NA,NA,7.94,NA,NA,NA,5.27,NA,NA,NA,NA,"<1",NA,"1.49",NA,11.2,NA,NA,"13.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","East Fork Jemez River",2008-12-02," 13:30:00",2008-12-02 13:30:00,NA,"<0.1",NA,0.376,NA,"<0.1",NA,NA,NA,0.0506,NA,"<10",NA,"<10",NA,11.7,"35",NA,36.6,NA,NA,"0",44.6,80.3,"106",NA,"9",NA,0.752,NA,NA,7.71,NA,NA,NA,6.12,NA,NA,NA,NA,"1.02",NA,"2.0099999999999998",NA,11.1,NA,NA,"19.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","East Fork Jemez River",2009-05-05," 12:30:00",2009-05-05 12:30:00,NA,"<0.1",NA,1.7,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,17,"80",NA,24.8,NA,NA,"0",30.3,66.3,"154",NA,"7",NA,0.299,NA,NA,7.66,NA,NA,NA,5.92,NA,NA,NA,NA,"1.1499999999999999",NA,"1.5",NA,6.22,NA,NA,"19.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","East Fork Jemez River",2009-06-01," 10:00:00",2009-06-01 10:00:00,NA,"<0.1",NA,0.48,NA,"<0.1",NA,NA,NA,0.048,NA,"<10",NA,"<10",NA,10.4,"70",NA,31.6,NA,NA,"0",38.6,71.9,"136",NA,"6",NA,0.499,NA,NA,7.74,NA,NA,NA,6.13,NA,NA,NA,NA,"1.18",NA,"1.1100000000000001",NA,7.98,NA,NA,"20.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","East Fork Jemez River",2009-06-30," 11:00:00",2009-06-30 11:00:00,NA,"<0.1",NA,1.2,NA,"<0.1",NA,NA,NA,0.051,NA,"<10",NA,"<10",NA,8.28,"50",NA,36.6,NA,NA,"0",44.7,77.9,"118",NA,"<3",NA,0.582,NA,NA,7.81,NA,NA,NA,6.7,NA,NA,NA,NA,"1.38",NA,"<1",NA,9.58,NA,NA,"22.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","East Fork Jemez River",2009-08-05," 15:15:00",2009-08-05 15:15:00,NA,"<0.1",NA,1.3,NA,"<0.1",NA,NA,NA,0.051,NA,"<10",NA,"<10",NA,19.3,"50",NA,36,NA,NA,"7.63",36.2,77.2,"108",NA,"<3",NA,0.795,NA,NA,9.05,NA,NA,NA,5.62,NA,NA,NA,NA,"1.22",NA,"<1",NA,11.4,NA,NA,"19.100000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","East Fork Jemez River",2009-09-01," 10:30:00",2009-09-01 10:30:00,NA,"<0.1",NA,1,NA,"<0.1",NA,NA,NA,0.035,NA,"<10",NA,"<10",NA,11.4,"70",NA,33.7,NA,NA,"0",41.1,75,"110",NA,"<3",NA,0.622,NA,NA,7.92,NA,NA,NA,5.63,NA,NA,NA,NA,"1.21",NA,"1.44",NA,9.91,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","East Fork Jemez River",2009-10-05," 10:30:00",2009-10-05 10:30:00,NA,"<0.1",NA,0.98,NA,"<0.1",NA,NA,NA,0.042,NA,"<10",NA,"<10",NA,12,"50",NA,36.3,NA,NA,"0",44.3,80.5,"114",NA,"5",NA,0.726,NA,NA,7.79,NA,NA,NA,5.65,NA,NA,NA,NA,"1.24",NA,"1.18",NA,11.7,NA,NA,"19.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","East Fork Jemez River",2009-11-04," 10:00:00",2009-11-04 10:00:00,NA,"<0.1",NA,1,NA,"<0.1",NA,NA,NA,0.062,NA,"<10",NA,"<10",NA,14.8,"40",NA,33,NA,NA,"0",40.2,76,"128",NA,"14",NA,0.714,NA,NA,7.73,NA,NA,NA,5.38,NA,NA,NA,NA,"1.1499999999999999",NA,"1.51",NA,11.2,NA,NA,"18.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","East Fork Jemez River",2010-05-06," 10:15:00",2010-05-06 10:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<10",NA,"<10",NA,NA,NA,NA,23.2,NA,NA,"0",28.3,NA,"108",NA,NA,NA,NA,NA,NA,7.52,NA,NA,NA,6.08,NA,NA,NA,NA,"1.27",NA,"1.63",NA,6.53,NA,NA,"20.399999999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","East Fork Jemez River",2010-06-02," 14:15:00",2010-06-02 14:15:00,NA,"<0.1",NA,NA,NA,"<0.1",NA,NA,NA,0.033,NA,"<10",NA,"<10",NA,11.6,"40",NA,30.6,NA,NA,"0",37.4,66.7,"110",NA,"4",NA,0.54,NA,NA,7.84,NA,NA,NA,5.93,NA,NA,NA,NA,"1.1499999999999999",NA,"1.22",NA,8.1,NA,NA,"19.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","East Fork Jemez River",2010-07-07," 09:30:00",2010-07-07 09:30:00,NA,"<0.1",NA,0.16,NA,"<0.1",NA,NA,NA,0.043,NA,"<10",NA,"<10",NA,NA,"30",NA,35.2,NA,NA,"0",42.9,75.1,"130",NA,"7",NA,0.8,NA,NA,7.74,"<0.1",NA,NA,6,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,"<0.001",NA,"1E-3",NA,NA,"<0.1",NA,"<0.001",NA,"<0.001",NA,"<0.001",NA,NA,"<0.001",NA,"<0.01",NA,"<0.001",NA,0.02,NA,NA,"2E-3",NA,"<0.01",NA,NA,NA,"<0.001",NA,NA,NA,"<0.001",NA,"<0.001",NA,NA,"2E-3",NA,NA,"<0.01",NA,NA,"<0.005",NA,NA,"<0.0002",NA,NA,NA,NA
"126","East Fork Jemez River",2010-08-03," 14:30:00",2010-08-03 14:30:00,NA,"<0.1",NA,0.49,NA,"<0.1",NA,NA,NA,0.082,NA,"<10",NA,"<10",NA,NA,"80",NA,33.9,NA,NA,"0",41.4,76.8,"132",NA,"<3",NA,0.69,NA,NA,8.24,"<0.1",NA,NA,6,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"19",NA,0.44,NA,"<0.001",NA,"<0.001",NA,NA,"<0.1",NA,"<0.001",NA,"<0.001",NA,"4.0000000000000001E-3",NA,NA,"<0.001",NA,"<0.01",NA,"<0.001",NA,0.014,NA,NA,"2E-3",NA,"<0.01",NA,NA,NA,"<0.001",NA,NA,NA,"<0.001",NA,"<0.001",NA,NA,"<0.001",NA,NA,"0.01",NA,NA,"<0.005",NA,NA,"<0.0002",NA,NA,NA,NA
"127","East Fork Jemez River",2010-08-25," 14:45:00",2010-08-25 14:45:00,NA,"<0.1",NA,0.25,NA,"<0.1",NA,NA,NA,0.036,NA,"<10",NA,"<10",NA,NA,"60",NA,32.5,NA,NA,"7.2",32.3,71.8,"100",NA,"<3",NA,0.73,NA,NA,8.97,"<0.1",NA,NA,5,NA,NA,"0.3",NA,"1",NA,"1",NA,11,NA,NA,NA,NA,0.22,NA,"<0.001",NA,"<0.001",NA,NA,"<0.1",NA,"<0.001",NA,"<0.001",NA,"2E-3",NA,NA,"<0.001",NA,"<0.01",NA,"<0.001",NA,0.009,NA,NA,"2E-3",NA,"<0.01",NA,22,NA,"<0.001",NA,"<0.1",NA,"<0.001",NA,"<0.001",NA,NA,"<0.001",NA,NA,"<0.01",NA,NA,"<0.005",NA,NA,"<0.0002",NA,NA,NA,NA
"128","East Fork Jemez River",2010-10-05," 13:00:00",2010-10-05 13:00:00,NA,"<0.1",NA,0.8,NA,"<0.1",NA,NA,NA,0.065,NA,"<10",NA,"<10",NA,NA,"50",NA,33,NA,NA,"0",40.3,75.8,"134",NA,"<3",NA,0.84,NA,NA,8.31,"<0.05",NA,NA,5,NA,NA,"0.24",NA,"1.3",NA,"2",NA,12,NA,NA,"18",NA,0.24,NA,"<0.001",NA,"<0.001",NA,NA,"<0.1",NA,"<0.001",NA,"<0.001",NA,"2E-3",NA,NA,"<0.001",NA,"<0.01",NA,"<0.001",NA,0.005,NA,NA,"2E-3",NA,"<0.01",NA,18,NA,"<0.001",NA,"<0.05",NA,"<0.001",NA,"<0.001",NA,NA,"<0.001",NA,NA,"<0.01",NA,NA,"<0.005",NA,NA,"<0.0002",NA,NA,NA,NA
"129","East Fork Jemez River",2010-11-02," 14:30:00",2010-11-02 14:30:00,NA,"<0.1",NA,0.68,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,NA,"30",NA,33.6,NA,NA,"0",41,77.6,"136",NA,"6",NA,0.92,NA,NA,7.92,"<0.05",NA,NA,5,NA,NA,"0.2",NA,"1.2",NA,"2",NA,12,NA,NA,NA,NA,0.32,NA,"<0.001",NA,"<0.001",NA,NA,"<0.1",NA,"<0.001",NA,"<0.001",NA,"1E-3",NA,NA,"<0.001",NA,"<0.01",NA,"<0.001",NA,0.004,NA,NA,"2E-3",NA,"<0.01",NA,15,NA,"<0.001",NA,"<0.05",NA,"<0.001",NA,"<0.001",NA,NA,"<0.001",NA,NA,"<0.01",NA,NA,"<0.005",NA,NA,"<0.0002",NA,NA,NA,NA
"130","East Fork Jemez River",2011-04-23," 13:00:00",2011-04-23 13:00:00,NA,"<0.1",NA,NA,NA,"<0.1",NA,NA,NA,NA,NA,"<10",NA,"<10",NA,NA,"40",NA,34.8,NA,NA,"0",42.5,74.3,"128",NA,"<3",NA,0.86,NA,NA,7.59,"<0.05",NA,NA,6,NA,NA,"0.61",NA,"1.3",NA,"2",NA,11,NA,NA,"22",NA,1.1,NA,"<0.001",NA,"<0.001",NA,NA,"<0.1",NA,"<0.001",NA,"<0.001",NA,"4.0000000000000001E-3",NA,NA,"<0.001",NA,"<0.01",NA,"<0.001",NA,0.016,NA,NA,"2E-3",NA,"<0.01",NA,7.7,NA,"<0.001",NA,"<0.05",NA,"<0.001",NA,"<0.001",NA,NA,"<0.005",NA,NA,"0.01",NA,NA,"<0.005",NA,NA,"<0.0002",NA,NA,NA,NA
"131","East Fork Jemez River",2011-05-16," 13:45:00",2011-05-16 13:45:00,NA,"<0.1",NA,NA,NA,"<0.1",NA,NA,NA,0.039,NA,"<10",NA,"<10",NA,NA,"40",NA,33.7,NA,NA,"1.93",39.1,88.1,"128",NA,"7",NA,1.08,NA,NA,8.46,"<0.05",NA,NA,6,NA,NA,"0.57999999999999996",NA,"1.3",NA,"2",NA,13,NA,NA,"20",NA,0.79,NA,"<0.001",NA,"<0.001",NA,NA,"<0.1",NA,"<0.001",NA,"<0.001",NA,"2E-3",NA,NA,"<0.001",NA,"<0.01",NA,"<0.001",NA,0.022,NA,NA,"2E-3",NA,"<0.01",NA,12,NA,"<0.001",NA,"<0.05",NA,"<0.001",NA,"<0.001",NA,NA,"<0.001",NA,NA,"<0.01",NA,NA,"<0.005",NA,NA,"<0.0002",NA,NA,NA,NA
"132","East Fork Jemez River",2011-06-15," 13:30:00",2011-06-15 13:30:00,NA,"<0.1",NA,NA,NA,"<0.1",NA,NA,NA,0.096,NA,"<10",NA,"<10",NA,NA,"35",NA,41.2,NA,NA,"10.199999999999999",40,86.9,"134",NA,"<3",NA,NA,NA,NA,8.92,"<0.05",NA,NA,6,NA,NA,NA,NA,"1.3",NA,"<1",NA,13,NA,NA,"21",NA,0.4,NA,"<0.001",NA,"<0.001",NA,NA,"<0.1",NA,"<0.002",NA,"<0.001",NA,"3.0000000000000001E-3",NA,NA,"<0.001",NA,"<0.01",NA,"<0.001",NA,0.015,NA,NA,"3.0000000000000001E-3",NA,"<0.01",NA,NA,NA,"<0.001",NA,NA,NA,"<0.001",NA,"<0.001",NA,NA,"<0.001",NA,NA,"0.01",NA,NA,"<0.005",NA,NA,"<0.0002",NA,NA,NA,NA
